"","site_id","province","latitude_y","longtitude_x","region","land_class","depth_filled","depth","full_wetland_area_m2","total_em_area_m2","total_mass_Mg","aerial_gpp","aerial_r","aerial_nep","flux_co2","flux_ch4","flux_n2o","pl_flux_co2","log_flux_ch4","pl_flux_n2o","gwp_co2","gwp_ch4","gwp_n2o","gwp_sum","pl_gwp_co2","log_gwp_ch4","pl_gwp_n2o","pl_gwp_sum","total_density","wetlandBirdRichness","wetlandArea_250m","wetlandArea_500m","wetlandArea_1km","wetlandArea_5km"
"11","MB12","MB",50.1572810000001,-100.333215,NA,"Grassland",NA,NA,NA,NA,NA,NA,NA,NA,31.765843061,10.7593539045,-0.000326481166666667,1.24276180965731,1.03178619287915,-0.162524149621366,1397.697094684,5853.088524048,-4.28082105733333,7246.50479767467,0.65172300417058,3.76738509257733,-0.212439524424242,1.99904053958607,NA,23,94481.3039446169,169873.188214809,472550.686255316,9190441.96484196
"12","MB13","MB",50.1571660000001,-100.333904,NA,"Both",NA,NA,NA,NA,NA,NA,NA,NA,168.194476834167,10.1842701015,0.010501341,2.82605211493851,1.00792990891302,2.36045002718146,7400.55698070333,5540.242935216,137.693583192,13078.4934991113,2.01933331425289,3.7435288086112,2.62767885965558,2.57676489646251,NA,21,93707.4666981218,170575.024633339,454727.255824641,9145499.64329645
"13","MB14","MB",50.15079,-100.322816,NA,"Grassland",NA,NA,NA,NA,NA,NA,NA,NA,412.847869083333,19.6349130193333,0.0199514343333333,3.72108026587136,1.29302898173034,2.99580380883015,18165.3062396667,10681.3926825173,261.603206978667,29108.3021291627,2.90253034227892,4.02862788142852,3.26570180740812,3.37220157499466,NA,20,62897.5707860218,201400.436850321,556145.202487916,9501353.98216865
"14","MB15","MB",50.3617800000001,-100.201895,NA,"Cropland",NA,NA,NA,NA,NA,NA,NA,NA,127.519348170594,12.33606256725,0.01107570565625,2.55177666039187,1.09117656340974,2.41280798749646,5610.85131950613,6710.818036584,145.22465256475,12466.8940086549,1.75505218161161,3.82677546310792,2.68040494496327,2.52944946514746,NA,20,123976.882988521,215795.332380033,553806.584516208,12943709.0321661
"15","MB16","MB",50.3700860000001,-100.534557,NA,"Grassland",NA,NA,NA,NA,NA,NA,NA,NA,461.246451384688,8.17937393939063,0.020850077890625,3.83181711682989,0.912720063442311,3.03965008808474,20294.8438609263,4449.5794230285,273.386221301875,25017.8095052566,3.01278594979971,3.64831896314049,3.30963572632207,3.22118185873414,NA,18,163273.161418267,230509.418842307,721645.460832005,15715084.0970401
"16","SK01","SK",50.9783670400001,-101.787708,NA,"Cropland",NA,NA,NA,NA,NA,NA,NA,NA,275.25,4.79333333333333,0.00333333333333333,3.3164119901081,0.680637631327201,1.28379566274319,12111,2607.57333333333,43.7066666666666,14762.28,2.50086317914092,3.41623653102538,1.52357456342408,2.69663274881459,NA,17,31194.4315115883,126601.930131189,267138.334137207,7970131.55984734
"17","SK02","SK",50.9822979800001,-101.791008,NA,"Cropland",NA,NA,NA,NA,NA,NA,NA,NA,115.746666666667,2.55666666666667,0.00333333333333333,2.45620078579953,0.407674109229318,1.28379566274319,5092.85333333333,1390.82666666667,43.7066666666666,6527.38666666667,1.66433690066015,3.1432730089275,1.52357456342408,1.89869142001069,NA,22,21255.804152985,86596.6019279868,240585.671005703,8060868.93371205
"18","SK03","SK",50.9729130200001,-101.839709,NA,"Grassland",NA,NA,NA,NA,NA,NA,NA,NA,-5.47,1.08333333333333,-0.00333333333333333,-0.270200175494726,0.0347621062592119,-1.28379566274319,-240.68,589.333333333333,-43.7066666666666,304.946666666667,-0.12005142172889,2.77036100595739,-1.52357456342408,0.151888643411962,NA,24,58079.6790655314,180026.365919055,858935.02437244,11193257.1858013
"19","SK04","SK",50.97462804,-101.839007,NA,"Grassland",NA,NA,NA,NA,NA,NA,NA,NA,380.71,2.22333333333333,0.02,3.64014206468776,0.347004579196886,2.99822295029797,16751.24,1209.49333333333,262.24,18222.9733333333,2.82201712502796,3.08260347889507,3.2681259867806,2.90568090908166,NA,24,53644.2482003918,166866.922161694,961086.303902243,11203343.3707789
"20","SK05","SK",50.9771319700001,-101.846878,NA,"Grassland",NA,NA,NA,NA,NA,NA,NA,NA,124.776666666667,1.27666666666667,-0.00333333333333333,2.53030229797705,0.10607751924896,-1.28379566274319,5490.17333333333,694.506666666667,-43.7066666666666,6140.97333333333,1.73459716276354,2.84167641894714,-1.52357456342408,1.84050372430995,NA,26,100098.783666922,277983.917949982,1044616.33431007,11334732.2694284
"21","SK06","SK",50.97778098,-101.865919,NA,"Grassland",NA,NA,NA,NA,NA,NA,NA,NA,602.793333333333,3.4,0.03,4.0992644099646,0.531478917042255,3.40230664548059,26522.9066666667,1849.6,393.36,28765.8666666667,3.27942727620517,3.26707781674043,3.67278578284718,3.3603958098422,NA,22,48184.8933458781,142290.747824443,473326.090117235,11141623.2655194
"22","SK07","SK",50.9712470000001,-101.840751,NA,"Grassland",NA,NA,NA,NA,NA,NA,NA,NA,703.39,11.1033333333333,0.24,4.25352846825534,1.04545337797151,5.48065628400101,30949.16,6040.21333333333,3146.88,40136.2533333333,3.43338823133068,3.78105227766969,5.75159176973578,3.6929001855504,NA,21,28678.0298783221,235344.359522435,783495.996244615,11215496.6148544
